_CASE_KEY,SORTING,EVENTTIME,ACTIVITY_EN,Automation
19,154,3/29/18 1:31,Baking pizza ready,A
19,155,3/29/18 1:34,Plan route,A
19,156,3/29/18 1:37,Pizza arrives at customer,A
19,157,3/29/18 1:37,Departure pizza,A
19,158,3/29/18 2:02,Payment customer,A
20,159,4/28/18 23:54,Start order website,A
20,160,4/29/18 0:02,Approve order website,A
20,161,4/29/18 0:02,Receive order website,A
20,162,4/29/18 0:10,Start preparing pizza,A
20,163,4/29/18 0:14,Start baking pizza,B
20,164,4/29/18 0:22,Start preparing pizza,A
20,165,4/29/18 0:24,Start baking pizza,A
20,166,4/29/18 0:37,Baking pizza ready,A
20,167,4/29/18 0:40,Plan route,B
20,168,4/29/18 0:42,Departure pizza,A
20,169,4/29/18 0:51,Pizza arrives at customer,A
20,170,4/29/18 1:22,Payment customer,A
21,171,4/1/18 20:47,Start order website,A
21,172,4/1/18 20:53,Approve order website,A
21,173,4/1/18 20:53,Receive order website,A
21,174,4/1/18 20:57,Call Customer,A
21,175,4/1/18 20:57,Payment via credit card,A
21,176,4/1/18 21:00,Start preparing pizza,B
21,177,4/1/18 21:03,Start baking pizza,A
22,178,4/15/18 19:40,Start preparing pizza,A
22,179,4/15/18 19:40,Order by phone,A
22,180,4/15/18 19:45,Start baking pizza,B
22,181,4/15/18 19:47,Baking pizza ready,A
22,182,4/15/18 19:55,Start preparing pizza,A
22,183,4/15/18 19:58,Start baking pizza,A
22,184,4/15/18 20:02,Baking pizza ready,B
22,185,4/15/18 20:08,Plan route,B
22,186,4/15/18 20:09,Departure pizza,A
22,187,4/15/18 20:15,Pizza arrives at customer,A
22,188,4/15/18 20:32,Payment customer,A
24,189,6/5/18 5:38,Order by phone,A
24,190,6/5/18 5:40,Start preparing pizza,A
24,191,6/5/18 5:42,Start baking pizza,A
24,192,6/5/18 5:49,Baking pizza ready,B
24,193,6/5/18 5:51,Plan route,A
24,194,6/5/18 5:55,Departure pizza,A
24,195,6/5/18 6:02,Pizza arrives at customer,A
24,196,6/5/18 6:27,Payment customer,A
26,197,3/29/18 2:55,Order by phone,A
26,198,3/29/18 2:56,Start preparing pizza,B
26,199,3/29/18 2:57,Start baking pizza,A
26,200,3/29/18 3:18,Baking pizza ready,B
26,201,3/29/18 3:26,Start preparing pizza,A
26,202,3/29/18 3:28,Start baking pizza,A
26,203,3/29/18 3:37,Baking pizza ready,A
26,204,3/29/18 3:44,Plan route,A
26,205,3/29/18 3:45,Departure pizza,A
26,206,3/29/18 3:49,Pizza arrives at customer,A
26,207,3/29/18 3:56,Payment customer,A
27,208,5/1/18 18:09,Start order website,A
27,209,5/1/18 18:17,Approve order website,A
27,210,5/1/18 18:18,Receive order website,B
27,211,5/1/18 18:24,Start preparing pizza,A
27,212,5/1/18 18:24,Call Customer,A
27,213,5/1/18 18:28,Start baking pizza,A
27,214,5/1/18 18:29,Baking pizza ready,B
27,215,5/1/18 18:30,Plan route,A
27,216,5/1/18 18:34,Departure pizza,A
27,217,5/1/18 18:42,Pizza arrives at customer,B
27,218,5/1/18 18:49,Payment customer,B
28,219,5/14/18 23:43,Start order website,A
28,220,5/14/18 23:46,Approve order website,A
28,221,5/14/18 23:47,Receive order website,A
28,222,5/14/18 23:55,Call Customer,A
28,223,5/15/18 0:02,Start preparing pizza,A
28,224,5/15/18 0:06,Start baking pizza,A
28,225,5/15/18 0:15,Baking pizza ready,A
28,226,5/15/18 0:18,Plan route,A
28,227,5/15/18 0:23,Departure pizza,B
28,228,5/15/18 0:28,Pizza arrives at customer,B
28,229,5/15/18 1:03,Payment customer,B
30,230,4/9/18 14:52,Order by phone,A
30,231,4/9/18 14:54,Start preparing pizza,A
30,232,4/9/18 15:00,Start baking pizza,B
30,233,4/9/18 15:02,Baking pizza ready,A
30,234,4/9/18 15:07,Departure pizza,A
30,235,4/9/18 15:07,Plan route,A
30,236,4/9/18 15:14,Pizza arrives at customer,A
30,237,4/9/18 15:22,Payment customer,B
31,238,3/10/18 0:11,Order by phone,A
31,239,3/10/18 0:14,Start baking pizza,A
31,240,3/10/18 0:14,Start preparing pizza,A
31,241,3/10/18 0:27,Baking pizza ready,B
31,242,3/10/18 0:30,Plan route,A
31,243,3/10/18 0:30,Departure pizza,B
31,244,3/10/18 0:34,Pizza arrives at customer,A
31,245,3/10/18 1:00,Payment customer,B
32,246,3/21/18 15:37,Start order website,A
32,247,3/21/18 15:49,Approve order website,A
32,248,3/21/18 15:49,Receive order website,A
32,249,3/21/18 15:57,Start preparing pizza,A
32,250,3/21/18 16:02,Start baking pizza,B
32,251,3/21/18 16:03,Start preparing pizza,A
32,252,3/21/18 16:08,Start baking pizza,A
32,253,3/21/18 16:17,Baking pizza ready,B
32,254,3/21/18 16:18,Departure pizza,A
32,255,3/21/18 16:18,Plan route,A
32,256,3/21/18 16:24,Pizza arrives at customer,A
32,257,3/21/18 16:40,Payment customer,B
33,258,2/19/18 17:39,Order by phone,A
33,259,2/19/18 17:42,Start preparing pizza,A
33,260,2/19/18 17:44,Start baking pizza,A
33,261,2/19/18 17:45,Baking pizza ready,B
33,262,2/19/18 17:48,Plan route,A
33,263,2/19/18 17:49,Departure pizza,B
33,264,2/19/18 17:58,Pizza arrives at customer,A
33,265,2/19/18 18:35,Payment customer,A
34,266,6/16/18 14:03,Start preparing pizza,A
34,267,6/16/18 14:03,Order at the counter (shop),A
34,268,6/16/18 14:04,Start baking pizza,A
34,269,6/16/18 14:12,Baking pizza ready,B
34,270,6/16/18 14:13,Payment customer,A
35,271,5/30/18 0:58,Order by phone,B
35,272,5/30/18 1:01,Start preparing pizza,A
35,273,5/30/18 1:02,Call Customer,A
35,274,5/30/18 1:05,Start preparing pizza,A
35,275,5/30/18 1:10,Start baking pizza,A
35,276,5/30/18 1:15,Baking pizza ready,A
35,277,5/30/18 1:19,Plan route,A
35,278,5/30/18 1:22,Departure pizza,A
35,279,5/30/18 1:31,Pizza arrives at customer,B
35,280,5/30/18 2:04,Payment customer,B
36,281,2/1/18 11:49,Order at the counter (shop),A
36,282,2/1/18 11:52,Start preparing pizza,A
36,283,2/1/18 11:56,Start baking pizza,A
36,284,2/1/18 12:01,Baking pizza ready,A
36,285,2/1/18 12:01,Payment customer,A
37,286,7/30/18 15:58,Order by phone,B
37,287,7/30/18 15:59,Start preparing pizza,A
37,288,7/30/18 16:04,Start baking pizza,A
37,289,7/30/18 16:19,Baking pizza ready,B
37,290,7/30/18 16:28,Start preparing pizza,A
37,291,7/30/18 16:28,Start baking pizza,A
37,292,7/30/18 16:33,Baking pizza ready,A
37,293,7/30/18 16:35,Plan route,A
37,294,7/30/18 16:35,Departure pizza,B
37,295,7/30/18 16:43,Pizza arrives at customer,A
37,296,7/30/18 17:21,Payment customer,A
38,297,2/8/18 21:50,Start preparing pizza,A
38,298,2/8/18 21:50,Order at the counter (shop),A
38,299,2/8/18 21:57,Start baking pizza,A
38,300,2/8/18 22:01,Baking pizza ready,A
38,301,2/8/18 22:02,Payment customer,A
39,302,4/7/18 6:41,Order by phone,A
39,303,4/7/18 6:41,Start preparing pizza,A
39,304,4/7/18 6:47,Start baking pizza,A
39,305,4/7/18 6:57,Baking pizza ready,A
39,306,4/7/18 6:59,Start preparing pizza,B
39,307,4/7/18 7:03,Start baking pizza,A
39,308,4/7/18 7:04,Baking pizza ready,A
39,309,4/7/18 7:11,Plan route,A
39,310,4/7/18 7:15,Departure pizza,A
39,311,4/7/18 7:17,Pizza arrives at customer,A
39,312,4/7/18 7:45,Payment customer,A
40,313,5/26/18 21:17,Start preparing pizza,A
40,314,5/26/18 21:17,Order by phone,A
40,315,5/26/18 21:23,Start baking pizza,A
40,316,5/26/18 21:29,Baking pizza ready,A
40,317,5/26/18 21:31,Start preparing pizza,A
40,318,5/26/18 21:32,Start baking pizza,A
40,319,5/26/18 21:36,Baking pizza ready,B
40,320,5/26/18 21:42,Plan route,A
40,321,5/26/18 21:44,Departure pizza,A
40,322,5/26/18 21:51,Pizza arrives at customer,A
40,323,5/26/18 22:22,Payment customer,A
41,324,1/20/18 10:44,Start preparing pizza,A
41,325,1/20/18 10:44,Order by phone,A
41,326,1/20/18 10:46,Start baking pizza,B
41,327,1/20/18 11:06,Baking pizza ready,A
41,328,1/20/18 11:08,Start preparing pizza,A
41,329,1/20/18 11:10,Start baking pizza,A
41,330,1/20/18 11:22,Baking pizza ready,B
41,331,1/20/18 11:28,Plan route,A
41,332,1/20/18 11:28,Departure pizza,A
41,333,1/20/18 11:33,Pizza arrives at customer,A
41,334,1/20/18 12:09,Payment customer,A
42,335,4/24/18 10:00,Order at the counter (shop),B
42,336,4/24/18 10:03,Start preparing pizza,A
42,337,4/24/18 10:08,Start baking pizza,A
42,338,4/24/18 10:10,Baking pizza ready,A
42,339,4/24/18 10:10,Payment customer,B
43,340,3/24/18 8:24,Start order website,A
43,341,3/24/18 8:26,Approve order website,B
43,342,3/24/18 8:26,Receive order website,A
43,343,3/24/18 8:30,Call Customer,A
43,344,3/24/18 8:33,Start preparing pizza,B
43,345,3/24/18 8:38,Start baking pizza,A
43,346,3/24/18 8:45,Baking pizza ready,A
43,347,3/24/18 8:45,Plan route,A
43,348,3/24/18 8:50,Departure pizza,A
43,349,3/24/18 8:58,Pizza arrives at customer,A
43,350,3/24/18 9:25,Payment customer,B
44,351,5/29/18 13:52,Order by phone,A
44,352,5/29/18 13:55,Start preparing pizza,A
44,353,5/29/18 14:01,Start baking pizza,B
44,354,5/29/18 14:16,Baking pizza ready,A
44,355,5/29/18 14:17,Start preparing pizza,A
44,356,5/29/18 14:22,Start baking pizza,A
44,357,5/29/18 14:27,Baking pizza ready,A
44,358,5/29/18 14:27,Departure pizza,A
44,359,5/29/18 14:27,Plan route,A
44,360,5/29/18 14:30,Pizza arrives at customer,B
44,361,5/29/18 14:41,Payment customer,A
45,362,3/25/18 3:47,Start order website,A
45,363,3/25/18 3:53,Approve order website,A
45,364,3/25/18 3:54,Receive order website,A
45,365,3/25/18 4:03,Call Customer,B
45,366,3/25/18 4:05,Start preparing pizza,A
45,367,3/25/18 4:07,Start baking pizza,A
45,368,3/25/18 4:19,Baking pizza ready,B
45,369,3/25/18 4:19,Plan route,B
45,370,3/25/18 4:24,Departure pizza,B
45,371,3/25/18 4:27,Pizza arrives at customer,A
45,372,3/25/18 4:47,Payment customer,B
46,373,3/9/18 19:26,Order by phone,B
46,374,3/9/18 19:27,Start preparing pizza,A
46,375,3/9/18 19:29,Start baking pizza,A
46,376,3/9/18 19:32,Baking pizza ready,A
46,377,3/9/18 19:34,Plan route,B
46,378,3/9/18 19:36,Departure pizza,A
46,379,3/9/18 19:39,Pizza arrives at customer,A
46,380,3/9/18 19:41,Payment customer,B
48,381,3/5/18 15:07,Start baking pizza,B
48,382,3/5/18 15:07,Order at the counter (shop),A
48,383,3/5/18 15:07,Start preparing pizza,A
48,384,3/5/18 15:16,Payment customer,A
48,385,3/5/18 15:16,Baking pizza ready,A
49,386,2/11/18 11:40,Order at the counter (shop),A
49,387,2/11/18 11:42,Start preparing pizza,A
49,388,2/11/18 11:44,Start baking pizza,A
49,389,2/11/18 11:55,Baking pizza ready,A
49,390,2/11/18 11:56,Payment customer,B
50,391,2/4/18 3:54,Order by phone,A
50,392,2/4/18 3:55,Start preparing pizza,A
50,393,2/4/18 3:57,Start baking pizza,A
50,394,2/4/18 4:00,Baking pizza ready,A
50,395,2/4/18 4:01,Plan route,A
50,396,2/4/18 4:05,Departure pizza,A
50,397,2/4/18 4:10,Pizza arrives at customer,A
50,398,2/4/18 4:42,Payment customer,A
51,399,6/27/18 14:58,Order by phone,A
51,400,6/27/18 15:00,Start preparing pizza,B
51,401,6/27/18 15:01,Start baking pizza,A
51,402,6/27/18 15:23,Baking pizza ready,A
51,403,6/27/18 15:28,Start preparing pizza,A
51,404,6/27/18 15:33,Start baking pizza,A
51,405,6/27/18 15:36,Baking pizza ready,A
51,406,6/27/18 15:37,Plan route,A
51,407,6/27/18 15:41,Departure pizza,A
51,408,6/27/18 15:47,Pizza arrives at customer,A
51,409,6/27/18 16:04,Payment customer,B
52,410,5/11/18 7:07,Order by phone,A
52,411,5/11/18 7:09,Start preparing pizza,A
52,412,5/11/18 7:10,Start baking pizza,A
52,413,5/11/18 7:11,Baking pizza ready,A
52,414,5/11/18 7:20,Start preparing pizza,B
52,415,5/11/18 7:22,Start baking pizza,A
52,416,5/11/18 7:34,Baking pizza ready,A
52,417,5/11/18 7:34,Plan route,A
52,418,5/11/18 7:38,Departure pizza,A
52,419,5/11/18 7:39,Pizza arrives at customer,A
52,420,5/11/18 7:52,Payment customer,B
53,421,3/15/18 23:39,Start preparing pizza,A
53,422,3/15/18 23:39,Start baking pizza,A
53,423,3/15/18 23:39,Order by phone,A
53,424,3/15/18 23:46,Baking pizza ready,A
53,425,3/15/18 23:53,Start preparing pizza,A
53,426,3/15/18 23:58,Start baking pizza,A
53,427,3/16/18 0:10,Baking pizza ready,A
53,428,3/16/18 0:11,Plan route,A
53,429,3/16/18 0:15,Departure pizza,A
53,430,3/16/18 0:20,Pizza arrives at customer,B
53,431,3/16/18 0:43,Payment customer,A
54,432,2/13/18 13:18,Order by phone,A
54,433,2/13/18 13:19,Start preparing pizza,A
54,434,2/13/18 13:20,Start baking pizza,B
54,435,2/13/18 13:28,Baking pizza ready,A
54,436,2/13/18 13:30,Plan route,A
54,437,2/13/18 13:34,Departure pizza,A
54,438,2/13/18 13:38,Pizza arrives at customer,A
54,439,2/13/18 14:07,Payment customer,A
55,440,6/9/18 1:53,Start preparing pizza,A
55,441,6/9/18 1:53,Order by phone,A
55,442,6/9/18 1:58,Start baking pizza,A
55,443,6/9/18 2:05,Baking pizza ready,A
55,444,6/9/18 2:05,Plan route,A
55,445,6/9/18 2:07,Departure pizza,A
55,446,6/9/18 2:12,Pizza arrives at customer,A
55,447,6/9/18 2:47,Payment customer,B
56,448,4/12/18 22:56,Order by phone,A
56,449,4/12/18 22:58,Start preparing pizza,A
56,450,4/12/18 23:04,Start baking pizza,A
56,451,4/12/18 23:14,Baking pizza ready,A
56,452,4/12/18 23:19,Plan route,B
56,453,4/12/18 23:22,Departure pizza,B
56,454,4/12/18 23:31,Pizza arrives at customer,A
56,455,4/12/18 23:37,Payment customer,B
57,456,3/22/18 14:33,Order by phone,A
57,457,3/22/18 14:34,Start preparing pizza,A
57,458,3/22/18 14:34,Start baking pizza,A
57,459,3/22/18 14:38,Baking pizza ready,A
57,460,3/22/18 14:47,Start preparing pizza,A
57,461,3/22/18 14:48,Start baking pizza,A
57,462,3/22/18 14:54,Baking pizza ready,A
57,463,3/22/18 15:01,Plan route,A
57,464,3/22/18 15:05,Departure pizza,A
57,465,3/22/18 15:10,Pizza arrives at customer,A
57,466,3/22/18 15:31,Payment customer,B
58,467,2/15/18 23:50,Order by phone,B
58,468,2/15/18 23:53,Start preparing pizza,A
58,469,2/15/18 23:56,Call Customer,A
58,470,2/16/18 0:03,Start preparing pizza,B
58,471,2/16/18 0:06,Start baking pizza,A
58,472,2/16/18 0:16,Baking pizza ready,A
58,473,2/16/18 0:18,Plan route,A
58,474,2/16/18 0:19,Departure pizza,A
58,475,2/16/18 0:27,Pizza arrives at customer,A
58,476,2/16/18 0:34,Payment customer,A
61,477,3/15/18 6:23,Order by phone,A
61,478,3/15/18 6:24,Start preparing pizza,A
61,479,3/15/18 6:28,Start baking pizza,A
61,480,3/15/18 6:38,Baking pizza ready,A
61,481,3/15/18 6:40,Plan route,A
61,482,3/15/18 6:42,Departure pizza,A
61,483,3/15/18 6:47,Pizza arrives at customer,A
61,484,3/15/18 6:53,Payment customer,A
62,485,5/29/18 11:22,Start order website,A
62,486,5/29/18 11:33,Approve order website,B
62,487,5/29/18 11:33,Receive order website,A
62,488,5/29/18 11:36,Call Customer,B
62,489,5/29/18 11:37,Start baking pizza,A
62,490,5/29/18 11:37,Start preparing pizza,A
62,491,5/29/18 11:47,Baking pizza ready,A
62,492,5/29/18 11:48,Plan route,A
62,493,5/29/18 11:50,Departure pizza,B
62,494,5/29/18 11:59,Pizza arrives at customer,A
62,495,5/29/18 12:01,Payment customer,B
63,496,3/11/18 7:40,Order by phone,A
63,497,3/11/18 7:43,Start preparing pizza,B
63,498,3/11/18 7:48,Start baking pizza,B
63,499,3/11/18 8:02,Baking pizza ready,A
63,500,3/11/18 8:10,Start preparing pizza,A
63,501,3/11/18 8:11,Start baking pizza,A
63,502,3/11/18 8:17,Baking pizza ready,B
63,503,3/11/18 8:24,Plan route,A
63,504,3/11/18 8:27,Departure pizza,B
63,505,3/11/18 8:33,Pizza arrives at customer,A
63,506,3/11/18 9:12,Payment customer,B
64,507,6/11/18 22:09,Order by phone,A
64,508,6/11/18 22:10,Start preparing pizza,A
64,509,6/11/18 22:10,Call Customer,A
64,510,6/11/18 22:13,Start preparing pizza,B
64,511,6/11/18 22:16,Start baking pizza,A
64,512,6/11/18 22:25,Baking pizza ready,A
64,513,6/11/18 22:27,Plan route,B
64,514,6/11/18 22:29,Departure pizza,A
64,515,6/11/18 22:32,Pizza arrives at customer,A
64,516,6/11/18 22:48,Payment customer,A
65,517,3/30/18 0:13,Start baking pizza,A
65,518,3/30/18 0:13,Order at the counter (shop),A
65,519,3/30/18 0:13,Start preparing pizza,B
65,520,3/30/18 0:15,Baking pizza ready,B
65,521,3/30/18 0:16,Payment customer,A
66,522,3/8/18 15:24,Order by phone,A
66,523,3/8/18 15:24,Start preparing pizza,A
66,524,3/8/18 15:31,Start baking pizza,A
66,525,3/8/18 15:33,Baking pizza ready,A
66,526,3/8/18 15:37,Plan route,A
66,527,3/8/18 15:40,Departure pizza,A
66,528,3/8/18 15:40,Pizza arrives at customer,A
66,529,3/8/18 15:56,Payment customer,A
67,530,2/19/18 18:05,Order by phone,A
67,531,2/19/18 18:07,Start preparing pizza,A
67,532,2/19/18 18:11,Call Customer,A
67,533,2/19/18 18:18,Start baking pizza,B
67,534,2/19/18 18:18,Start preparing pizza,B
67,535,2/19/18 18:23,Baking pizza ready,A
67,536,2/19/18 18:26,Plan route,A
67,537,2/19/18 18:27,Departure pizza,A
67,538,2/19/18 18:35,Pizza arrives at customer,A
67,539,2/19/18 19:08,Payment customer,A
68,540,6/11/18 0:38,Order by phone,A
68,541,6/11/18 0:38,Start preparing pizza,A
68,542,6/11/18 0:42,Call Customer,A
68,543,6/11/18 0:47,Start preparing pizza,A
68,544,6/11/18 0:49,Start baking pizza,A
68,545,6/11/18 0:49,Baking pizza ready,A
68,546,6/11/18 0:51,Plan route,A
68,547,6/11/18 0:52,Departure pizza,A
68,548,6/11/18 0:58,Pizza arrives at customer,A
68,549,6/11/18 1:12,Payment customer,A
69,550,6/3/18 17:11,Order by phone,B
69,551,6/3/18 17:13,Start preparing pizza,A
69,552,6/3/18 17:13,Start baking pizza,A
69,553,6/3/18 17:25,Baking pizza ready,A
69,554,6/3/18 17:34,Start preparing pizza,B
69,555,6/3/18 17:38,Start baking pizza,A
69,556,6/3/18 17:51,Baking pizza ready,A
69,557,6/3/18 17:55,Plan route,A
69,558,6/3/18 17:57,Departure pizza,A
69,559,6/3/18 18:01,Pizza arrives at customer,A
69,560,6/3/18 18:11,Payment customer,B
70,561,3/19/18 10:59,Order by phone,A
70,562,3/19/18 11:02,Start preparing pizza,A
70,563,3/19/18 11:04,Start baking pizza,B
70,564,3/19/18 11:09,Baking pizza ready,B
70,565,3/19/18 11:12,Plan route,A
70,566,3/19/18 11:15,Pizza arrives at customer,A
70,567,3/19/18 11:15,Departure pizza,A
70,568,3/19/18 11:42,Payment customer,A
71,569,2/13/18 18:10,Order at the counter (shop),A
71,570,2/13/18 18:11,Start preparing pizza,B
71,571,2/13/18 18:13,Start baking pizza,A
71,572,2/13/18 18:20,Baking pizza ready,B
71,573,2/13/18 18:20,Payment customer,A
72,574,5/27/18 12:35,Order by phone,A
72,575,5/27/18 12:38,Start preparing pizza,A
72,576,5/27/18 12:39,Call Customer,A
72,577,5/27/18 12:46,Start preparing pizza,A
72,578,5/27/18 12:51,Start baking pizza,A
72,579,5/27/18 13:00,Baking pizza ready,A
72,580,5/27/18 13:05,Plan route,A
72,581,5/27/18 13:07,Departure pizza,A
72,582,5/27/18 13:16,Pizza arrives at customer,A
72,583,5/27/18 13:33,Payment customer,A
73,584,3/9/18 9:06,Order by phone,A
73,585,3/9/18 9:06,Start preparing pizza,A
73,586,3/9/18 9:11,Start baking pizza,A
73,587,3/9/18 9:22,Baking pizza ready,B
